gene,Description
LOC105371692,uncharacterized LOC105371692
ZBTB20,zinc finger and BTB domain containing 20
ERI1,exoribonuclease 1
ZNF616,zinc finger protein 616
SELENON,selenoprotein N
ZNF852,zinc finger protein 852
MICAL3,"microtubule associated monooxygenase, calponin and LIM domain containing 3"
LOC728743,zinc finger domain-containing protein LOC728743
CYB5B,cytochrome b5 type B
TXNL1,thioredoxin like 1
FCGR2B,Fc gamma receptor IIb
SERPINB7,serpin family B member 7
CLDN8,claudin 8
COQ3,"coenzyme Q3, methyltransferase"
LINC02361,long intergenic non-protein coding RNA 2361
NUP50,nucleoporin 50
CDH16,cadherin 16
CASP10,caspase 10
EEF2,eukaryotic translation elongation factor 2
CCDC124,coiled-coil domain containing 124
MAP1B,microtubule associated protein 1B
LINC01094,long intergenic non-protein coding RNA 1094
CCDC9,coiled-coil domain containing 9
IFIT1,interferon induced protein with tetratricopeptide repeats 1
LOC102723922,
EOLA2-DT,EOLA2 divergent transcript
IFI16,interferon gamma inducible protein 16
TRAPPC13,trafficking protein particle complex subunit 13
ZNF609,zinc finger protein 609
LIMASI,"lncRNA inflammatory and mucous response associated, antisense to ICAM1"
DCAF1,DDB1 and CUL4 associated factor 1
NPY4R,neuropeptide Y receptor Y4
SFTA3,surfactant associated 3
ZNF57,zinc finger protein 57
ANKRD26,ankyrin repeat domain containing 26
LOC105378867,uncharacterized LOC105378867
ANAPC5,anaphase promoting complex subunit 5
CLEC19A,C-type lectin domain containing 19A
RAB35,"RAB35, member RAS oncogene family"
HAGH,hydroxyacylglutathione hydrolase
INHBA,inhibin subunit beta A
HAUS1,HAUS augmin like complex subunit 1
DRD4,dopamine receptor D4
LOC105378561,uncharacterized LOC105378561
NPIPA3,nuclear pore complex interacting protein family member A3
POLE4,"DNA polymerase epsilon 4, accessory subunit"
SNORD140,"small nucleolar RNA, C/D box 140"
GNRH2,gonadotropin releasing hormone 2
SNORD31,"small nucleolar RNA, C/D box 31"
TRIM52,tripartite motif containing 52
LOC107986855,uncharacterized LOC107986855
DUSP16,dual specificity phosphatase 16
NOP53,NOP53 ribosome biogenesis factor
CFAP418,cilia and flagella associated protein 418
LOC105374531,uncharacterized LOC105374531
LOC101928354,uncharacterized LOC101928354
LOC105378299,uncharacterized LOC105378299
LOC105372859,uncharacterized LOC105372859
RPS12,ribosomal protein S12
PCDHB16,protocadherin beta 16
TMEM200A,transmembrane protein 200A
FNIP2,folliculin interacting protein 2
RNASEL,ribonuclease L
DRAM1,DNA damage regulated autophagy modulator 1
FOLH1,folate hydrolase 1
SEPTIN8,septin 8
MIGA2,mitoguardin 2
NRN1L,neuritin 1 like
HECTD1,HECT domain E3 ubiquitin protein ligase 1
USP11,ubiquitin specific peptidase 11
UQCRB,ubiquinol-cytochrome c reductase binding protein
LOC105374775,uncharacterized LOC105374775
GPR137B,G protein-coupled receptor 137B
LINC01239,long intergenic non-protein coding RNA 1239
RNF175,ring finger protein 175
KRT13,keratin 13
TRIM36,tripartite motif containing 36
TRAF3IP3,TRAF3 interacting protein 3
DNLZ,DNL-type zinc finger
GSPT2,G1 to S phase transition 2
RBPJ,recombination signal binding protein for immunoglobulin kappa J region
KERA,keratocan
CDKL3,cyclin dependent kinase like 3
MTRNR2L9,MT-RNR2 like 9 (pseudogene)
ZNF18,zinc finger protein 18
ACTMAP,actin maturation protease
HNRNPD-DT,HNRNPD divergent transcript
PET100,PET100 cytochrome c oxidase chaperone
LOC107985224,uncharacterized LOC107985224
SNHG30,small nucleolar RNA host gene 30
COL6A1,collagen type VI alpha 1 chain
SAP30,Sin3A associated protein 30
EDA2R,ectodysplasin A2 receptor
ACTR2,actin related protein 2
ZNF708,zinc finger protein 708
EBF3,EBF transcription factor 3
KCNQ4,potassium voltage-gated channel subfamily Q member 4
CMTM3,CKLF like MARVEL transmembrane domain containing 3
NUDT12,nudix hydrolase 12
RLF,RLF zinc finger
ZBED3-AS1,ZBED3 antisense RNA 1
ACTB,actin beta
BBS1,Bardet-Biedl syndrome 1
ISG20,interferon stimulated exonuclease gene 20
STOX2,storkhead box 2
SNORD139,"small nucleolar RNA, C/D box 139"
PTDSS1,phosphatidylserine synthase 1
HIGD1A,HIG1 hypoxia inducible domain family member 1A
LOC105378518,
ZNF32-AS2,ZNF32 antisense RNA 2
RIPPLY3,ripply transcriptional repressor 3
TNFRSF10D,TNF receptor superfamily member 10d
COMMD9,COMM domain containing 9
EXD3,exonuclease 3'-5' domain containing 3
ZNF396,zinc finger protein 396
PCBP2,poly(rC) binding protein 2
CCDC85C,coiled-coil domain containing 85C
LOC102724748,
TANK,TRAF family member associated NFKB activator
IKBIP,IKBKB interacting protein
MIR564,microRNA 564
LOC101929643,uncharacterized LOC101929643
STRN,striatin
FAM153B,family with sequence similarity 153 member B
LOC105373796,uncharacterized LOC105373796
TERF1P7,TERF1 pseudogene 7
PINX1,PIN2 (TERF1) interacting telomerase inhibitor 1
TAP1,"transporter 1, ATP binding cassette subfamily B member"
TRAV23DV6,T cell receptor alpha variable 23/delta variable 6
SIN3A,SIN3 transcription regulator family member A
TRIM55,tripartite motif containing 55
NIBAN1,niban apoptosis regulator 1
FUT10,fucosyltransferase 10
LOC105369820,
MED10,mediator complex subunit 10
LOC101927764,uncharacterized LOC101927764
YWHAH,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta
LOC400682,zinc finger protein 100-like
KLHL31,kelch like family member 31
NAV1,neuron navigator 1
IDI2,isopentenyl-diphosphate delta isomerase 2
NDFIP1,Nedd4 family interacting protein 1
SNORD36B,"small nucleolar RNA, C/D box 36B"
RGS4,regulator of G protein signaling 4
MIR200CHG,MIR200C and MIR141 host gene
TNFSF13B,TNF superfamily member 13b
LOC105371764,
JMJD6,"jumonji domain containing 6, arginine demethylase and lysine hydroxylase"
CRYBB3,crystallin beta B3
SNAP25,synaptosome associated protein 25
SPATA17,spermatogenesis associated 17
WDR91,WD repeat domain 91
LOC105378698,uncharacterized LOC105378698
OGT,O-linked N-acetylglucosamine (GlcNAc) transferase
SLC17A7,solute carrier family 17 member 7
HEMK1,HemK methyltransferase family member 1
LOC102724687,uncharacterized LOC102724687
TAS2R31,taste 2 receptor member 31
RBM10,RNA binding motif protein 10
STXBP1,syntaxin binding protein 1
LOC107987258,
CNTN5,contactin 5
ZNF143,zinc finger protein 143
LOC105370297,uncharacterized LOC105370297
LOC105379508,
DDX21,DExD-box helicase 21
RAD18,RAD18 E3 ubiquitin protein ligase
SKIC3,SKI3 subunit of superkiller complex
SLC12A3,solute carrier family 12 member 3
LOC100131496,uncharacterized LOC100131496
ZSCAN26,zinc finger and SCAN domain containing 26
SPAG9,sperm associated antigen 9
EXO5-DT,EXO5 divergent transcript
RPL36AL,ribosomal protein L36a like
LY6H,lymphocyte antigen 6 family member H
ZNF32,zinc finger protein 32
ZNF425,zinc finger protein 425
LOC389834,ankyrin repeat domain 57 pseudogene
DGCR8,DGCR8 microprocessor complex subunit
TDRD9,tudor domain containing 9
SLC1A2,solute carrier family 1 member 2
PCOLCE-AS1,PCOLCE antisense RNA 1
C1QTNF4,C1q and TNF related 4
MIR181A2HG,MIR181A2 host gene
DDX24,DEAD-box helicase 24
PROX2,prospero homeobox 2
GNMT,glycine N-methyltransferase
RTL8B,retrotransposon Gag like 8B
SNORA70,"small nucleolar RNA, H/ACA box 70"
MIR4523,microRNA 4523
PTPRR,protein tyrosine phosphatase receptor type R
CATSPERE,catsper channel auxiliary subunit epsilon
IL7,interleukin 7
POC1B-AS1,POC1B antisense RNA 1
FBXO9,F-box protein 9
C4orf36,chromosome 4 open reading frame 36
FAM229A,family with sequence similarity 229 member A
C19orf18,chromosome 19 open reading frame 18
CYSTM1,cysteine rich transmembrane module containing 1
ARL5B,ADP ribosylation factor like GTPase 5B
MTREX,Mtr4 exosome RNA helicase
ERICH6-AS1,ERICH6 antisense RNA 1
RUSC1-AS1,RUSC1 antisense RNA 1
PITPNM3,PITPNM family member 3
DIAPH1-AS1,DIAPH1 antisense RNA 1
SNORD116-21,"small nucleolar RNA, C/D box 116-21"
OTOGL,otogelin like
IGSF6,immunoglobulin superfamily member 6
MMP2-AS1,MMP2 antisense RNA 1
LRIT3,"leucine rich repeat, Ig-like and transmembrane domains 3"
SLC1A3-AS1,SLC1A3 antisense RNA 1
SERPINE3,serpin family E member 3
ITGB1BP2,integrin subunit beta 1 binding protein 2
RALGAPA1,Ral GTPase activating protein catalytic subunit alpha 1
SNORA65,"small nucleolar RNA, H/ACA box 65"
FAM78B,family with sequence similarity 78 member B
ZNF573,zinc finger protein 573
IL9R,interleukin 9 receptor
TRNY,tRNA-Tyr
NUP58,nucleoporin 58
CEP97,centrosomal protein 97
SMNDC1,survival motor neuron domain containing 1
AGBL4,AGBL carboxypeptidase 4
ERICH2-DT,ERICH2 divergent transcript
FAM151B,family with sequence similarity 151 member B
LOC105375114,uncharacterized LOC105375114
HAP1,huntingtin associated protein 1
CPNE9,copine family member 9
MIB2,MIB E3 ubiquitin protein ligase 2
DHRS1,dehydrogenase/reductase 1
TSSC2,tumor suppressing subtransferable candidate 2 (pseudogene)
BLOC1S6,biogenesis of lysosomal organelles complex 1 subunit 6
LINC00689,long intergenic non-protein coding RNA 689
KCTD2,potassium channel tetramerization domain containing 2
LOC105372318,uncharacterized LOC105372318
PRSS36,serine protease 36
CWC15,CWC15 spliceosome associated protein homolog
CDC42,cell division cycle 42
GPR19,G protein-coupled receptor 19
PSMB6,proteasome 20S subunit beta 6
TYRP1,tyrosinase related protein 1
WNK1,WNK lysine deficient protein kinase 1
ZNF654,zinc finger protein 654
FAM168A,family with sequence similarity 168 member A
USP16,ubiquitin specific peptidase 16
TRBV4-2,T cell receptor beta variable 4-2
SFMBT1,Scm like with four mbt domains 1
THAP11,THAP domain containing 11
FKTN,fukutin
ARL6IP5,ADP ribosylation factor like GTPase 6 interacting protein 5
MYG1,MYG1 exonuclease
POLA1,"DNA polymerase alpha 1, catalytic subunit"
ZKSCAN5,zinc finger with KRAB and SCAN domains 5
MECOM,MDS1 and EVI1 complex locus
TFEB,transcription factor EB
RBM7,RNA binding motif protein 7
PIGA,phosphatidylinositol glycan anchor biosynthesis class A
MIR4758,microRNA 4758
LOC100289230,uncharacterized LOC100289230
DHRS4L2,dehydrogenase/reductase 4 like 2
RARRES1,retinoic acid receptor responder 1
LINC02977,long intergenic non-protein coding RNA 2977
FOLH1B,folate hydrolase 1B (pseudogene)
IKBKB,inhibitor of nuclear factor kappa B kinase subunit beta
ZNF879,zinc finger protein 879
TXNRD3,thioredoxin reductase 3
TUBGCP2,tubulin gamma complex associated protein 2
LOC105370532,uncharacterized LOC105370532
DHDDS-AS1,DHDDS antisense RNA 1
LOC105376155,uncharacterized LOC105376155
LINC02611,long intergenic non-protein coding RNA 2611
PPP1R2B,PPP1R2 family member B
TRAPPC1,trafficking protein particle complex subunit 1
MIR6877,microRNA 6877
CFAP418-AS1,CFAP418 antisense RNA 1
GTF2F2,general transcription factor IIF subunit 2
SLF1,SMC5-SMC6 complex localization factor 1
LOC100507156,uncharacterized LOC100507156
RHOC,ras homolog family member C
MED28,mediator complex subunit 28
LOC100288123,uncharacterized LOC100288123
FBXW4P1,F-box and WD repeat domain containing 4 pseudogene 1
AFAP1L2,actin filament associated protein 1 like 2
FAM106C,family with sequence similarity 106 member C
GSTT2,glutathione S-transferase theta 2 (gene/pseudogene)
EFCAB2,EF-hand calcium binding domain 2
HLA-H,"major histocompatibility complex, class I, H (pseudogene)"
ANXA4,annexin A4
CHST5,carbohydrate sulfotransferase 5
P2RY8,P2Y receptor family member 8
ERAP1,endoplasmic reticulum aminopeptidase 1
TRAV36DV7,T cell receptor alpha variable 36/delta variable 7
LRRC37B,leucine rich repeat containing 37B
LOC100294145,uncharacterized LOC100294145
TMEM192,transmembrane protein 192
ZSWIM7,zinc finger SWIM-type containing 7
LOC112268258,
KLHL15,kelch like family member 15
ACADM,acyl-CoA dehydrogenase medium chain
LOC107984868,
MDN1,midasin AAA ATPase 1
IMPDH1,inosine monophosphate dehydrogenase 1
IRF9,interferon regulatory factor 9
MITD1,microtubule interacting and trafficking domain containing 1
TMEM86A,transmembrane protein 86A
ARMH4,armadillo like helical domain containing 4
LOC102724751,breakpoint cluster region protein-like
KIF21A,kinesin family member 21A
LOC101929506,uncharacterized LOC101929506
FREM2,FRAS1 related extracellular matrix 2
PRDM2,PR/SET domain 2
MDN1-AS1,MDN1 antisense RNA 1
IL18,interleukin 18
LOC101927608,uncharacterized LOC101927608
LOC107986982,MAGE-like protein 2
MIB1,MIB E3 ubiquitin protein ligase 1
FARS2,"phenylalanyl-tRNA synthetase 2, mitochondrial"
SLC6A9,solute carrier family 6 member 9
CCDC92B,coiled-coil domain containing 92B
RSPH9,radial spoke head component 9
TMTC3,transmembrane O-mannosyltransferase targeting cadherins 3
OGDH,oxoglutarate dehydrogenase
LOC105379413,uncharacterized LOC105379413
ABCB10,ATP binding cassette subfamily B member 10
TRNN,tRNA-Asn
RPS23,ribosomal protein S23
SENP6,SUMO specific peptidase 6
PRDM16,PR/SET domain 16
ZNF141,zinc finger protein 141
SMG1P7,SMG1 pseudogene 7
TRAPPC2B,trafficking protein particle complex subunit 2B
LOC100240735,uncharacterized LOC100240735
TUBA1B,tubulin alpha 1b
ARVCF,ARVCF delta catenin family member
FIP1L1,factor interacting with PAPOLA and CPSF1
GUSBP2,GUSB pseudogene 2
SLC2A8,solute carrier family 2 member 8
EFCAB14-AS1,EFCAB14 antisense RNA 1
DNAJC5B,DnaJ heat shock protein family (Hsp40) member C5 beta
MYO3A,myosin IIIA
TAF1L,TATA-box binding protein associated factor 1 like
CYP11A1,cytochrome P450 family 11 subfamily A member 1
MSRB2,methionine sulfoxide reductase B2
ACBD5,acyl-CoA binding domain containing 5
LINC00886,long intergenic non-protein coding RNA 886
MIAT,myocardial infarction associated transcript
C3orf18,chromosome 3 open reading frame 18
FAM200C,family with sequence similarity 200 member C
LOC105373510,uncharacterized LOC105373510
ALDH1L2,aldehyde dehydrogenase 1 family member L2
ANXA2,annexin A2
LOC107985147,uncharacterized LOC107985147
MED11,mediator complex subunit 11
CCDC148,coiled-coil domain containing 148
LOC107985263,
LOC101928279,uncharacterized LOC101928279
NMD3,NMD3 ribosome export adaptor
CWC25,CWC25 spliceosome associated protein homolog
ZNF584,zinc finger protein 584
FNDC3A,fibronectin type III domain containing 3A
SCN3A,sodium voltage-gated channel alpha subunit 3
ZKSCAN8P1,ZKSCAN8 pseudogene 1
LOC102724517,uncharacterized LOC102724517
LOC112268067,uncharacterized LOC112268067
LOC107987261,
LOC107987388,replaced by ID 102724151
KIAA1656,KIAA1656 protein
AP4B1-AS1,AP4B1 antisense RNA 1
ZC2HC1A,zinc finger C2HC-type containing 1A
LOC105374846,uncharacterized LOC105374846
LOC105379854,uncharacterized LOC105379854
PDZD9,PDZ domain containing 9
SETD4,SET domain containing 4
OLFM1,olfactomedin 1
LAMA5-AS1,LAMA5 antisense RNA 1
CHUK,component of inhibitor of nuclear factor kappa B kinase complex
TRIP4,thyroid hormone receptor interactor 4
BDH2,3-hydroxybutyrate dehydrogenase 2
CTCF,CCCTC-binding factor
SPIRE1,spire type actin nucleation factor 1
AVIL,advillin
KLHL20,kelch like family member 20
TRBJ1-2,T cell receptor beta joining 1-2
TBC1D31,TBC1 domain family member 31
LUM,lumican
FMN2,formin 2
QRFP,pyroglutamylated RFamide peptide
EXT2,exostosin glycosyltransferase 2
ZNF185,zinc finger protein 185 with LIM domain
ELP3,elongator acetyltransferase complex subunit 3
LOC107985690,replaced by ID 84636
LOC101928762,uncharacterized LOC101928762
SPOCD1,SPOC domain containing 1
LOC107985203,uncharacterized LOC107985203
APLF,aprataxin and PNKP like factor
ARRDC1-AS1,ARRDC1 antisense RNA 1
LRP2,LDL receptor related protein 2
ALDH3A2,aldehyde dehydrogenase 3 family member A2
CXCL9,C-X-C motif chemokine ligand 9
DPH7,diphthamide biosynthesis 7
DDIAS,DNA damage induced apoptosis suppressor
WRAP53,WD repeat containing antisense to TP53
PLB1,phospholipase B1
DDX6,DEAD-box helicase 6
LINC02968,long intergenic non-protein coding RNA 2968
SLC25A38,solute carrier family 25 member 38
LOC105371206,uncharacterized LOC105371206
STS,steroid sulfatase
LOC105375805,uncharacterized LOC105375805
C9orf43,chromosome 9 open reading frame 43
RTL6,retrotransposon Gag like 6
MIEF1,mitochondrial elongation factor 1
CLIP3,CAP-Gly domain containing linker protein 3
EXOC4,exocyst complex component 4
ACOT6,acyl-CoA thioesterase 6
KMT2CP4,lysine methyltransferase 2C pseudogene 4
ALPK1,alpha kinase 1
ZRANB2,zinc finger RANBP2-type containing 2
RNLS,"renalase, FAD dependent amine oxidase"
RGPD3,RANBP2 like and GRIP domain containing 3
BANK1,B cell scaffold protein with ankyrin repeats 1
GARS1-DT,GARS1 divergent transcript
ADAM11,ADAM metallopeptidase domain 11
SPEN,spen family transcriptional repressor
POU2F2-AS1,POU2F2 antisense RNA 1
STC1,stanniocalcin 1
LDLRAD3,low density lipoprotein receptor class A domain containing 3
LIMS3-LOC440895,LIMS3-LOC440895 readthrough
SLC51A,solute carrier family 51 subunit alpha
ATP5F1A,ATP synthase F1 subunit alpha
LOC105372791,uncharacterized LOC105372791
ARPIN,actin related protein 2/3 complex inhibitor
TANGO6,transport and golgi organization 6 homolog
CLK4,CDC like kinase 4
NHSL1-AS1,NHSL1 antisense RNA 1
LOC107985694,uncharacterized LOC107985694
MED23,mediator complex subunit 23
LOC112268224,
USP1,ubiquitin specific peptidase 1
STARD3,StAR related lipid transfer domain containing 3
JPX,"JPX transcript, XIST activator"
OR2A4,olfactory receptor family 2 subfamily A member 4
LOC107984485,
SHISA5,shisa family member 5
ZNF594,zinc finger protein 594
JDP2-AS1,JDP2 antisense RNA 1
CYP4V2,cytochrome P450 family 4 subfamily V member 2
IMPACT,impact RWD domain protein
FSTL1,follistatin like 1
REPS2,RALBP1 associated Eps domain containing 2
